client_code,top_products,top1,top1_benefit,top2,top2_benefit,top3,top3_benefit,top4,top4_benefit,push_top1
38,"[('Премиальная карта', 89578.0287), ('Депозит Сберегательный', 80006.78125), ('Депозит Накопительный', 75157.88541666667), ('Депозит Мультивалютный', 70308.98958333333)]",Премиальная карта,89578.0287,Депозит Сберегательный,80006.78125,Депозит Накопительный,75157.88541666667,Депозит Мультивалютный,70308.98958333333,"Александр, воспользуйтесь этой выгодой на 89578 ₸: Ваш статус премиальный позволяет. Активируйте карту сегодня!"
41,"[('Премиальная карта', 72221.094), ('Кредитная карта', 52234.52865000001), ('Депозит Сберегательный', 16009.303750000001), ('Депозит Накопительный', 15039.042916666667)]",Премиальная карта,72221.094,Кредитная карта,52234.52865000001,Депозит Сберегательный,16009.303750000001,Депозит Накопительный,15039.042916666667,"Аркадий, выгода от Премиальной карты составляет 72 221 тенге! Активируйте карту сегодня и наслаждайтесь преимуществами."
10,"[('Премиальная карта', 87586.0422), ('Кредитная карта', 49054.9761), ('Депозит Сберегательный', 17563.21875), ('Карта для путешествий', 17214.188400000003)]",Премиальная карта,87586.0422,Кредитная карта,49054.9761,Депозит Сберегательный,17563.21875,Карта для путешествий,17214.188400000003,"Ivan, выгода от Премиальной карты - 87586₸. Активируйте карту сегодня!"
58,"[('Кредитная карта', 51427.8159), ('Премиальная карта', 48742.626), ('Карта для путешествий', 13532.0196), ('Депозит Сберегательный', 857.10625)]",Кредитная карта,51427.8159,Премиальная карта,48742.626,Карта для путешествий,13532.0196,Депозит Сберегательный,857.10625,Кредитная карта: выгода ≈51428 ₸. Подробнее в приложении.
42,"[('Премиальная карта', 94802.40959999998), ('Кредитная карта', 73054.74105), ('Депозит Сберегательный', 40535.385), ('Депозит Накопительный', 38078.695)]",Премиальная карта,94802.40959999998,Кредитная карта,73054.74105,Депозит Сберегательный,40535.385,Депозит Накопительный,38078.695,Премиальная карта: выгода ≈94802 ₸. Подробнее в приложении.
40,"[('Кредитная карта', 51569.8005), ('Премиальная карта', 49211.9822), ('Карта для путешествий', 15093.202800000001), ('Депозит Сберегательный', 1183.765)]",Кредитная карта,51569.8005,Премиальная карта,49211.9822,Карта для путешествий,15093.202800000001,Депозит Сберегательный,1183.765,"Александр, воспользуйтесь возможностью Вашего статуса премиального клиента и получите 51570₸ бонусом на карту. Активируйте сегодня!"
11,"[('Премиальная карта', 89403.83069999999), ('Кредитная карта', 48153.40635), ('Депозит Сберегательный', 44420.365), ('Депозит Накопительный', 41728.221666666665)]",Премиальная карта,89403.83069999999,Кредитная карта,48153.40635,Депозит Сберегательный,44420.365,Депозит Накопительный,41728.221666666665,"Дорогой Игорь, выгода Вашего статуса премиального клиента - ≈89404 ₸! Как премиальный клиент, воспользуйтесь преимуществом. Активируйте карту сегодня!"
59,"[('Премиальная карта', 92757.2118), ('Кредитная карта', 66568.9458), ('Депозит Сберегательный', 60877.58875), ('Депозит Накопительный', 57188.03791666667)]",Премиальная карта,92757.2118,Кредитная карта,66568.9458,Депозит Сберегательный,60877.58875,Депозит Накопительный,57188.03791666667,"Доброго времени дня! Вам статус премиального клиента. Тем не менее, вы можете получить еще большую выгоду. Активируйте карту Premium и получите 92757₸ бонусом!"
27,"[('Премиальная карта', 50988.6498), ('Кредитная карта', 49589.23485), ('Карта для путешествий', 25650.293599999997), ('Депозит Сберегательный', 974.2975)]",Премиальная карта,50988.6498,Кредитная карта,49589.23485,Карта для путешествий,25650.293599999997,Депозит Сберегательный,974.2975,"Активируйте карту, Игорь! Премиальная карта принесет вам 50989₸ привилегий."
19,"[('Кредитная карта', 49299.18855), ('Премиальная карта', 45568.1658), ('Карта для путешествий', 16396.8944), ('Депозит Сберегательный', 1102.0625)]",Кредитная карта,49299.18855,Премиальная карта,45568.1658,Карта для путешествий,16396.8944,Депозит Сберегательный,1102.0625,"Александр, надеемся на вашу поддержку! Активируйте кредитную карту и получите 49299₸ бонус. Ваш статус премиальный обеспечивает дополнительные преимущества."
