client_code,top_products,top1,top1_benefit,push_top1
38,"[('Premium Card', 59718.6858), ('Everyday Card', 29859.3429), ('Shopper Card', 27463.2672), ('Travel Card', 20644.3352)]",Premium Card,59718.6858,"Серик, исходя из ваших трат, премиальная карта даст вам ≈59 719 KZT возврата и привилегии. Узнать подробнее?"
41,"[('Premium Card', 48147.396), ('Shopper Card', 29174.664), ('Everyday Card', 24073.698), ('Travel Card', 14397.955600000001)]",Premium Card,48147.396,"Сандугаш, исходя из ваших трат, премиальная карта даст вам ≈48 147 KZT возврата и привилегии. Узнать подробнее?"
10,"[('Premium Card', 58390.6948), ('Shopper Card', 32375.862299999997), ('Everyday Card', 29195.3474), ('Travel Card', 17214.188400000003)]",Premium Card,58390.6948,"Карина, исходя из ваших трат, премиальная карта даст вам ≈58 391 KZT возврата и привилегии. Узнать подробнее?"
58,"[('Premium Card', 48742.626), ('Shopper Card', 33223.2315), ('Everyday Card', 24371.313), ('Travel Card', 13532.0196)]",Premium Card,48742.626,"Султан, исходя из ваших трат, премиальная карта даст вам ≈48 743 KZT возврата и привилегии. Узнать подробнее?"
42,"[('Premium Card', 63201.6064), ('Everyday Card', 31600.8032), ('Shopper Card', 29558.2758), ('Travel Card', 18582.7484)]",Premium Card,63201.6064,"Рустем, исходя из ваших трат, премиальная карта даст вам ≈63 202 KZT возврата и привилегии. Узнать подробнее?"
40,"[('Premium Card', 49211.9822), ('Shopper Card', 33176.443499999994), ('Everyday Card', 24605.9911), ('Travel Card', 15093.202800000001)]",Premium Card,49211.9822,"Асхат, исходя из ваших трат, премиальная карта даст вам ≈49 212 KZT возврата и привилегии. Узнать подробнее?"
11,"[('Premium Card', 59602.5538), ('Shopper Card', 31196.8209), ('Everyday Card', 29801.2769), ('Travel Card', 16484.7432)]",Premium Card,59602.5538,"Бауржан, исходя из ваших трат, премиальная карта даст вам ≈59 603 KZT возврата и привилегии. Узнать подробнее?"
59,"[('Premium Card', 61838.141200000005), ('Shopper Card', 38061.913499999995), ('Everyday Card', 30919.070600000003), ('Travel Card', 19086.158)]",Premium Card,61838.141200000005,"Динара, исходя из ваших трат, премиальная карта даст вам ≈61 838 KZT возврата и привилегии. Узнать подробнее?"
27,"[('Premium Card', 50988.6498), ('Shopper Card', 26347.8909), ('Everyday Card', 25494.3249), ('Travel Card', 22916.337399999997)]",Premium Card,50988.6498,"Нурсултан, исходя из ваших трат, премиальная карта даст вам ≈50 989 KZT возврата и привилегии. Узнать подробнее?"
19,"[('Premium Card', 45568.1658), ('Shopper Card', 25808.4495), ('Everyday Card', 22784.0829), ('Travel Card', 16396.8944)]",Premium Card,45568.1658,"Азамат, исходя из ваших трат, премиальная карта даст вам ≈45 568 KZT возврата и привилегии. Узнать подробнее?"
